order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,1426,2026-05-11,1,5,245.25,1226.25,Cancelled,
2,3109,2025-02-23,447,1,99.17,99.17,Completed,2025-02-26
3,9307,2026-02-18,131,3,257.67,773.01,Completed,2026-02-21
4,6280,2025-01-25,227,5,57.15,285.75,Completed,2025-01-26
5,4129,2026-04-16,145,5,305.77,1528.85,Completed,2026-04-19
6,7987,2023-05-01,115,5,105.01,525.05,Completed,2023-05-01
7,3110,2022-02-24,357,4,180.24,720.96,Cancelled,
8,4026,2024-12-21,148,4,306.31,1225.24,Cancelled,
9,2715,2026-08-12,345,2,366.92,733.84,Completed,2026-08-14
10,6861,2026-07-11,491,3,202.88,608.64,Completed,2026-07-11
11,895,2026-05-20,422,3,30.54,91.62,Cancelled,
12,6864,2025-07-19,463,3,246.29,738.87,Completed,2025-07-21
13,3638,2026-06-10,492,3,114.01,342.03,Completed,2026-06-12
14,4500,2022-08-25,,5,35.35,176.75,Completed,2022-08-28
15,3230,2025-06-11,339,2,317.00,634.00,Pending,
16,341,2023-02-01,4,2,16.34,32.68,Completed,2023-02-03
17,2193,2026-08-11,50,5,212.29,1061.45,Completed,2026-08-11
18,4501,2023-12-26,101,1,78.40,78.40,Completed,2023-12-27
19,2149,2025-12-04,248,5,243.36,1216.80,Completed,2025-12-04
20,608,2025-10-28,489,3,69.55,208.65,Completed,2025-10-29
21,3004,2026-05-28,68,5,291.13,1455.65,Completed,2026-05-31
22,9415,2026-06-26,393,3,308.41,925.23,Pending,
23,1561,2025-08-04,229,3,173.27,519.81,Pending,
24,6460,2020-12-02,198,2,196.46,392.92,Completed,2020-12-03
25,2548,2025-12-23,217,2,125.34,250.68,Pending,
26,9232,2025-09-29,211,4,328.24,1312.96,Completed,2025-10-01
27,8647,2025-07-10,380,4,339.08,1356.32,Completed,2025-07-13
28,8849,2023-12-15,393,2,311.47,622.94,Cancelled,
29,97,2023-10-14,298,2,340.03,680.06,Completed,2023-10-14
30,3435,2024-07-03,406,4,255.79,1023.16,Completed,2024-07-05
31,2117,2024-12-02,303,1,13.75,13.75,Completed,2024-12-03
32,8039,2025-10-17,373,4,228.45,913.80,Completed,2025-10-20
33,3893,2026-05-28,139,5,86.14,430.70,Completed,2026-05-30
34,3658,2021-12-19,63,1,182.90,182.90,Cancelled,
35,265,2024-04-27,46,4,350.86,1403.44,Pending,
36,5213,2024-08-23,346,1,27.48,27.48,Cancelled,
37,4569,2025-12-01,173,1,169.83,169.83,Pending,
38,1654,2025-06-04,364,1,270.35,270.35,Completed,2025-06-07
39,8340,2026-01-29,172,4,207.41,829.64,Completed,2026-01-31
40,9614,2025-04-04,9,4,103.47,413.88,Completed,2025-04-06
41,8649,2026-04-09,283,1,223.53,223.53,Completed,2026-04-10
42,3032,2020-10-31,394,3,402.52,1207.56,Completed,2020-11-01
43,8148,2025-02-05,274,1,63.47,63.47,Completed,2025-02-05
44,4047,2024-08-19,197,3,155.92,467.76,Cancelled,
45,8330,2025-10-18,258,1,247.65,247.65,Completed,2025-10-21
46,138,2023-07-02,325,2,228.23,456.46,Pending,
47,9051,2024-07-06,261,4,312.58,1250.32,Completed,2024-07-09
48,3861,2026-08-05,48,5,315.44,1577.20,Pending,
49,5024,2024-09-09,150,2,138.41,276.82,Completed,2024-09-11
50,3050,2024-06-19,25,3,7.19,21.57,Completed,2024-06-20
51,1595,2026-03-04,459,2,90.09,180.18,Completed,2026-03-05
52,3548,2023-03-18,230,3,180.68,542.04,Cancelled,
53,628,2025-05-04,389,2,376.59,753.18,Completed,2025-05-07
54,4347,2026-03-24,287,1,270.58,270.58,Completed,2026-03-26
55,661,2022-04-28,203,1,35.83,35.83,Completed,2022-04-29
56,9326,2024-03-22,415,1,330.21,330.21,Completed,2024-03-23
57,2112,2025-05-04,26,5,325.13,1625.65,Pending,
58,8191,2024-10-08,342,2,66.60,133.20,Pending,
59,2321,2023-12-17,106,5,267.84,1339.20,Completed,2023-12-20
60,1643,2024-01-28,383,1,316.12,316.12,Completed,2024-01-28
61,7101,2026-04-23,353,3,193.17,579.51,Completed,2026-04-24
62,3901,2023-01-19,348,2,288.72,577.44,Completed,2023-01-20
63,4533,2024-06-02,247,2,432.44,864.88,Cancelled,
64,6782,2026-05-06,270,2,220.85,441.70,Pending,
65,8730,2024-11-29,265,2,63.52,127.04,Completed,2024-12-02
66,8110,2026-06-21,241,4,351.49,1405.96,Completed,2026-06-21
67,2680,2025-10-05,289,5,93.61,468.05,Completed,2025-10-06
68,7893,2026-07-16,158,5,30.93,154.65,Completed,2026-07-18
69,6852,2025-05-09,16,4,62.31,249.24,Pending,
70,1699,2025-08-08,2,5,223.27,1116.35,Cancelled,
71,1603,2026-04-28,19,5,98.43,492.15,Completed,2026-04-28
72,7772,2025-11-16,281,2,375.50,751.00,Completed,2025-11-18
73,6984,2023-04-09,415,5,329.69,1648.45,Completed,2023-04-10
74,7807,2024-03-04,339,2,316.88,633.76,Completed,2024-03-04
75,4903,2026-04-14,394,2,416.33,832.66,Completed,2026-04-16
76,3389,2024-11-24,402,1,247.08,247.08,Pending,
77,1398,2023-11-03,260,2,125.42,250.84,Completed,2023-11-04
78,3360,2025-04-10,75,1,45.37,45.37,Completed,2025-04-13
79,3356,2024-05-07,162,3,264.83,794.49,Cancelled,
80,8108,2026-08-13,27,2,161.53,323.06,Pending,
81,2115,2023-01-07,10,4,348.11,1392.44,Pending,
82,4555,2025-06-24,69,2,58.26,116.52,Cancelled,
83,6728,2025-08-19,126,3,163.16,489.48,Cancelled,
84,3613,2025-12-18,472,3,433.80,1301.40,Completed,2025-12-19
85,3929,2026-04-20,458,2,306.82,613.64,Completed,2026-04-20
86,1154,2026-03-17,350,4,329.67,1318.68,Completed,2026-03-17
87,4589,2026-01-04,228,3,34.79,104.37,Completed,2026-01-07
88,9829,2024-10-06,465,2,198.54,397.08,Completed,2024-10-07
89,5106,2025-03-29,5,1,107.13,107.13,Completed,2025-03-29
90,2751,2025-10-08,240,2,394.67,789.34,Completed,2025-10-11
91,9305,2024-10-22,338,1,14.88,14.88,Pending,
92,9179,2026-02-08,240,2,375.77,751.54,Completed,2026-02-10
93,4075,2025-12-14,393,1,324.34,324.34,Completed,2025-12-15
94,5976,2024-11-28,209,5,458.08,2290.40,Cancelled,
95,3895,2021-02-06,222,1,30.14,30.14,Pending,
96,6928,2023-02-16,424,2,192.10,384.20,Completed,2023-02-18
97,443,2026-03-08,272,3,152.44,457.32,Completed,2026-03-10
98,6046,2022-02-22,147,1,168.87,168.87,Completed,2022-02-22
99,9335,2025-10-29,12,5,25.15,125.75,Completed,2025-10-30
100,4580,2024-04-07,470,4,195.40,781.60,Completed,2024-04-08
101,3756,2024-05-29,82,5,445.29,2226.45,Pending,
102,1676,2026-08-14,361,5,345.37,1726.85,Completed,2026-08-14
103,9461,2026-05-31,60,2,262.47,524.94,Completed,2026-06-02
104,9009,2025-12-26,177,5,137.28,686.40,Completed,2025-12-26
105,2133,2026-05-13,240,1,376.04,376.04,Pending,
106,4870,2022-04-15,287,5,274.28,1371.40,Pending,
107,8970,2024-01-03,483,3,263.17,789.51,Completed,2024-01-05
108,1393,2026-02-23,387,2,156.53,313.06,Completed,2026-02-25
109,3712,2025-08-10,340,4,438.87,1755.48,Pending,
110,3603,2026-04-26,323,4,221.71,886.84,Completed,2026-04-28
111,5117,2025-02-13,314,1,463.17,463.17,Completed,2025-02-16
112,2596,2026-07-29,499,5,76.38,381.90,Completed,2026-07-30
113,7153,2024-01-15,79,4,238.64,954.56,Completed,2024-01-18
114,4296,2025-09-07,158,5,32.34,161.70,Completed,2025-09-09
115,1448,2021-08-19,163,3,438.71,1316.13,Completed,2021-08-22
116,280,2021-02-24,51,3,28.53,85.59,Completed,2021-02-24
117,6507,2026-07-22,206,3,311.36,934.08,Completed,2026-07-22
